# Date, spot_meas, millis
2000-01-01T00:00:00Z, 20.56, 20560
2000-01-01T00:00:00Z, 20.63, 21683
2000-01-01T00:00:00Z, 20.63, 22805
2000-01-01T00:00:00Z, 20.63, 23927
# Date, spot_meas, millis
2000-01-01T00:00:00Z, 25.00, 325
2000-01-01T00:00:00Z, 20.63, 1458
# Date, spot_meas, millis
2000-01-01T00:00:00Z, 20.63, 233
2000-01-01T00:00:00Z, 20.63, 1356
# Date, millis, spot_meas
2000-01-01T00:00:00Z, 173, 20.63
2000-01-01T00:00:00Z, 1296, 20.56
2000-01-01T00:00:00Z, 2419, 20.56
2000-01-01T00:00:00Z, 3543, 20.56
2000-01-01T00:00:00Z, 4666, 20.56
# Date, millis, spot_meas
2000-01-01T00:00:00Z, 172, 20.56
2000-01-01T00:00:00Z, 1295, 20.56
2000-01-01T00:00:00Z, 2419, 20.63
2000-01-01T00:00:00Z, 3543, 20.63
2000-01-01T00:00:00Z, 4666, 20.56
2000-01-01T00:00:00Z, 5793, 20.63
2000-01-01T00:00:00Z, 6917, 20.56
2000-01-01T00:00:00Z, 8041, 20.56
2000-01-01T00:00:00Z, 9164, 20.56
2000-01-01T00:00:00Z, 10288, 20.63
2000-01-01T00:00:00Z, 11412, 20.56
2000-01-01T00:00:00Z, 12535, 20.56
2000-01-01T00:00:00Z, 13660, 20.56
2000-01-01T00:00:00Z, 14788, 20.63
2000-01-01T00:00:00Z, 15912, 20.63
# Date, millis, spot_meas
2000-01-01T00:00:00Z, 581, 25.00
2000-01-01T00:00:00Z, 1716, 24.13
2000-01-01T00:00:00Z, 2850, 24.13
2000-01-01T00:00:00Z, 3977, 24.13
2000-01-01T00:00:00Z, 5104, 24.13
2000-01-01T00:00:00Z, 6227, 24.13
2000-01-01T00:00:00Z, 7352, 24.13
2000-01-01T00:00:00Z, 8475, 24.13
2000-01-01T00:00:00Z, 9600, 24.06
2000-01-01T00:00:00Z, 10724, 24.13
2000-01-01T00:00:00Z, 11847, 24.13
2000-01-01T00:00:00Z, 12972, 24.13
2000-01-01T00:00:00Z, 14095, 24.13
2000-01-01T00:00:00Z, 15219, 24.13
2000-01-01T00:00:00Z, 16343, 24.06
# Date, millis, spot_meas
2000-01-01T00:00:00Z, 282, 25.00
2000-01-01T00:00:00Z, 1417, 24.13
2000-01-01T00:00:00Z, 2551, 24.13
2000-01-01T00:00:00Z, 3681, 24.13
2000-01-01T00:00:00Z, 4804, 24.06
2000-01-01T00:00:00Z, 5928, 24.13
2000-01-01T00:00:00Z, 7052, 24.06
2000-01-01T00:00:00Z, 8176, 24.06
2000-01-01T00:00:00Z, 9299, 24.06
2000-01-01T00:00:00Z, 10424, 24.13
2000-01-01T00:00:00Z, 11547, 24.13
2000-01-01T00:00:00Z, 12672, 24.13
2000-01-01T00:00:00Z, 13795, 24.13
2000-01-01T00:00:00Z, 14919, 24.13
2000-01-01T00:00:00Z, 16043, 24.13
2000-01-01T00:00:00Z, 17167, 24.13
2000-01-01T00:00:00Z, 18290, 24.19
2000-01-01T00:00:00Z, 19418, 24.19
2000-01-01T00:00:00Z, 20542, 24.19
2000-01-01T00:00:00Z, 21666, 24.19
2000-01-01T00:00:00Z, 22795, 24.19
2000-01-01T00:00:00Z, 23918, 24.19
2000-01-01T00:00:00Z, 25042, 24.25
